0.00-0.05,0.05-0.10,0.10-0.15,0.15-0.20,0.20-0.25,0.25-0.30,0.30-0.35,0.35-0.40,0.40-0.45,0.45-0.50,0.50-0.55,0.55-0.60,0.60-0.65,0.65-0.70,0.70-0.75,0.75-0.80,0.80-0.85,0.85-0.90,0.90-0.95,0.95-1.00
2209,570,340,286,213,223,256,309,376,467,733,1371,2411,3818,5226,5079,4849,4740,4447,1012
26486,5122,2418,1440,999,594,433,315,214,198,145,97,94,73,72,50,64,85,36,0
29596,3269,1905,1300,937,618,446,341,204,138,84,39,35,11,9,2,1,0,0,0
36961,913,377,226,176,108,55,40,27,25,13,7,3,2,1,1,0,0,0,0
30455,4929,1993,921,404,163,54,11,5,0,0,0,0,0,0,0,0,0,0,0
20020,6243,3728,2723,1983,1302,932,592,366,261,205,135,97,82,59,68,82,54,3,0
38779,111,26,9,6,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
29922,3100,1896,1014,625,414,288,275,224,230,200,177,158,95,81,78,56,69,32,1
38931,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38930,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38928,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38931,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38902,17,7,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38925,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38890,35,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37318,1020,293,122,73,36,16,6,20,6,3,3,3,3,3,1,1,1,1,6
38764,141,21,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38928,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38903,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38781,120,24,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38921,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38606,255,53,13,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38897,31,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38897,28,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38826,92,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38896,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36364,1542,552,255,117,54,27,12,9,1,1,0,1,0,0,0,0,0,0,0
37267,748,356,223,162,89,35,22,10,8,10,4,1,0,0,0,0,0,0,0
38678,105,55,28,16,11,7,8,8,6,7,3,2,0,1,0,0,0,0,0
38832,58,19,8,2,5,6,1,1,2,1,0,0,0,0,0,0,0,0,0
38617,123,62,31,18,11,25,23,9,7,3,5,1,0,0,0,0,0,0,0
38457,212,77,39,45,20,16,13,7,10,16,10,6,3,3,1,0,0,0,0
38573,196,77,36,26,17,6,2,0,2,0,0,0,0,0,0,0,0,0,0
38771,93,24,24,9,8,2,3,1,0,0,0,0,0,0,0,0,0,0,0
38822,74,15,10,3,6,0,1,1,0,1,0,1,1,0,0,0,0,0,0
38884,33,9,3,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
38577,126,70,45,34,27,19,17,12,2,4,2,0,0,0,0,0,0,0,0
38677,197,35,17,2,1,2,0,3,0,0,0,0,0,0,0,1,0,0,0
38745,156,22,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38876,44,10,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38752,98,37,25,10,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0
36972,1572,322,43,16,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0
38886,39,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
