level1,level2,level3,level4,level5,level6,ru,abstract,counts,also,correlated,anti-correlated,description
Sounds of things,,,,,,,True,,,,,"Set of sound classes referring to sounds that are immediately understood by listeners as arising from specific objects (rather than being heard more literally as ""sounds"")."
,Bell,,,,,Колокол,False,"47,16,3,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0","""Music/Musical instrument/Bell""","{""Tubular bells"": ""0.39""}",{},"The sound of a simple instrument usually consisting of metal cast in the shape of a hollow cup, whose sides form a resonator which vibrates in a single tone upon being struck by a ""clapper"" suspended within, or by a separate mallet or hammer."
,,Cowbell,,,,Колокольчик коровы,False,"6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Animal/Livestock, farm animals, working animals/Cattle, bovinae/Cowbell"" and ""Music/Musical instrument/Percussion/Cowbell"" and ""Music/Musical instrument/Bell/Cowbell""",{},{},A simple metal bell historically tied around the necks of cattle to keep track of their whereabouts.
,,Church bell,,,,Церковный колокол,False,"55,13,7,3,6,2,4,2,0,1,0,0,0,0,0,0,0,0,0","""Music/Musical instrument/Bell/Church bell""","{""Change ringing (campanology)"": ""0.50"", ""Tubular bells"": ""0.34""}",{},The sound of a large bell usually encountered in churches where it used either to signify the hour or the time for worshippers to go to church.
,,Jingle bell,,,,Колокол-бубенчик,False,"112,49,20,16,6,2,2,0,3,1,1,0,1,0,0,0,0,0,0","""Music/Musical instrument/Bell/Jingle bell""","{""Jingle, tinkle"": ""0.47""}",{},"The sound of a type of bell which produces a distinctive 'jingle' sound, especially in large numbers. They are commonly produced from a single piece of sheet metal bent into a roughly spherical shape containing a small ball bearing."
,,Bicycle bell,,,,Велосипедный колокол,False,"356,80,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Sounds of things/Alarm/Bicycle bell"" and ""Music/Musical instrument/Bell/Bicycle bell"" and ""Sounds of things/Vehicle/Non-motorized land vehicle/Bicycle/Bicycle bell""",{},{},The sound of a percussive signaling instrument mounted on a bicycle for warning pedestrians and other cyclists.
,,Tuning fork,,,,Камертон,False,"50,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Music/Musical instrument/Bell/Tuning fork""","{""Chirp tone"": ""0.38"", ""Singing bowl"": ""0.35""}",{},The sound of an acoustic resonator in the form of a two-pronged fork with the prongs formed from a U-shaped bar of elastic metal. It emits a pure musical tone and is frequently used as a standard of pitch to tune musical instruments.
,,Chime,,,,Перезвон,False,"114,34,25,11,9,5,2,0,0,1,1,0,0,0,0,0,0,1,0","""Music/Musical instrument/Bell/Chime""","{""Glockenspiel"": ""0.39"", ""Mallet percussion"": ""0.39"", ""Marimba, xylophone"": ""0.35""}",{},"The sound of a musical instrument consisting of multiple tuned bells, usually rung by an automated mechanism to produce a short, characteristic tone or melody."
,,,Wind chime,,,Перезвон ветра,False,"43,24,23,8,10,2,3,0,0,1,0,1,0,0,0,0,0,1,0","""Music/Musical instrument/Bell/Chime/Wind chime""",{},{},"The sound of an instrument constructed from suspended tubes, rods, bells, or other objects that are often made of metal or wood along with some type of weight the tubes or rods can strike when they or another wind-catching surface are blown by the natural movement of air outside."
,,Change ringing (campanology),,,,Изменение звона (кампания),False,"15,4,0,0,3,0,1,0,0,0,1,0,2,0,0,0,0,0,0","""Music/Musical instrument/Bell/Change ringing (campanology)""","{""Church bell"": ""0.50""}",{},Sounds of the art of ringing a set of (typically large) tuned bells in a controlled manner to produce variations in their sounding order.
,Vehicle,,,,,Транспорт,False,"1487,741,465,307,207,175,106,115,84,75,61,34,14,8,2,1,1,0,0",,"{""Outside, urban or manmade"": ""0.65"", ""Heavy engine (low frequency)"": ""0.64"", ""Medium engine (mid frequency)"": ""0.62"", ""Engine"": ""0.58"", ""Field recording"": ""0.53"", ""Accelerating, revving, vroom"": ""0.53"", ""Clatter"": ""0.51"", ""Flap"": ""0.49"", ""Idling"": ""0.46"", ""Vibration"": ""0.38"", ""Rumble"": ""0.33"", ""Whir"": ""0.33""}",{},Sounds of mobile machines that transport people or cargo.
,,"Boat, Water vehicle",,,,"Лодка, водное транспортное средство",False,"581,181,75,44,26,19,9,16,11,4,4,3,2,0,0,0,0,0,0",,"{""Wind noise (microphone)"": ""0.64"", ""Wind"": ""0.63"", ""Gurgling"": ""0.62"", ""Ocean"": ""0.39"", ""Waves, surf"": ""0.34"", ""Flap"": ""0.33"", ""Outside, urban or manmade"": ""0.32"", ""Bicycle"": ""0.31"", ""Slosh"": ""0.30"", ""Outside, rural or natural"": ""0.30""}",{},"Sounds of watercraft designed to float, plane, work, or travel on water."
,,,"Sailboat, sailing ship",,,"Парусная лодка, парусное судно",False,"137,31,15,12,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Wind noise (microphone)"": ""0.77"", ""Wind"": ""0.75"", ""Ship"": ""0.61"", ""Gurgling"": ""0.49"", ""Motorboat, speedboat"": ""0.47"", ""Ocean"": ""0.44"", ""Waves, surf"": ""0.39"", ""Rowboat, canoe, kayak"": ""0.39""}",{},Sounds of a boat (large or small) propelled partly or entirely by sails.
,,,"Rowboat, canoe, kayak",,,"Весельная лодка, каноэ, байдарка",False,"107,49,21,12,7,4,7,2,2,0,0,0,0,0,0,0,0,0,0",,"{""Gurgling"": ""0.54"", ""Sailboat, sailing ship"": ""0.39"", ""Slosh"": ""0.38""}",{},Sounds of a boat propelled using the motion of oars in the water.
,,,"Motorboat, speedboat",,,"Моторная лодка, катер",False,"136,31,7,7,1,4,3,1,1,1,0,0,0,0,0,0,0,0,0",,"{""Ship"": ""0.57"", ""Sailboat, sailing ship"": ""0.47"", ""Wind noise (microphone)"": ""0.36"", ""Wind"": ""0.35"", ""Propeller, airscrew"": ""0.35"", ""Car"": ""0.34"", ""Heavy engine (low frequency)"": ""0.34"", ""Motor vehicle (road)"": ""0.34"", ""Car passing by"": ""0.33"", ""Flap"": ""0.32"", ""Medium engine (mid frequency)"": ""0.31"", ""Outside, urban or manmade"": ""0.30""}",{},Sounds of a boat which is powered by an inboard or outboard engine.
,,,Ship,,,Корабль,False,"75,10,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Sailboat, sailing ship"": ""0.61"", ""Wind noise (microphone)"": ""0.59"", ""Wind"": ""0.59"", ""Motorboat, speedboat"": ""0.57"", ""Ocean"": ""0.37"", ""Outside, urban or manmade"": ""0.35"", ""Waves, surf"": ""0.35"", ""Flap"": ""0.34"", ""Bus"": ""0.33"", ""Gurgling"": ""0.31"", ""Aircraft"": ""0.31""}",{},"The sound of a large buoyant watercraft, distinguished from boats based on size, shape, and cargo or passenger capacity."
,,Motor vehicle (road),,,,Моторное транспортное средство (дорога),False,"322,70,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Outside, urban or manmade"": ""0.61"", ""Medium engine (mid frequency)"": ""0.53"", ""Accelerating, revving, vroom"": ""0.50"", ""Heavy engine (low frequency)"": ""0.49"", ""Engine"": ""0.48"", ""Field recording"": ""0.46"", ""Clatter"": ""0.42"", ""Flap"": ""0.39"", ""Idling"": ""0.36"", ""Motorboat, speedboat"": ""0.34"", ""Whir"": ""0.32"", ""Rumble"": ""0.31""}",{},"Sounds of self-propelled land vehicles, usually wheeled, that do not operate on rails. Includes ""off-road"" vehicles designed for unmade roads."
,,,Car,,,Автомобиль,False,"804,312,183,116,96,59,33,32,6,7,0,1,1,0,0,0,0,0,0",,"{""Accelerating, revving, vroom"": ""0.60"", ""Medium engine (mid frequency)"": ""0.57"", ""Bus"": ""0.57"", ""Outside, urban or manmade"": ""0.57"", ""Engine"": ""0.50"", ""Field recording"": ""0.49"", ""Traffic noise, roadway noise"": ""0.49"", ""Clatter"": ""0.49"", ""Heavy engine (low frequency)"": ""0.46"", ""Truck"": ""0.45"", ""Flap"": ""0.42"", ""Whir"": ""0.41"", ""Rumble"": ""0.37"", ""Idling"": ""0.36"", ""Motorboat, speedboat"": ""0.34"", ""Motorcycle"": ""0.32"", ""Fixed-wing aircraft, airplane"": ""0.32"", ""Aircraft"": ""0.31""}",{},"Sounds of a self-powered motor vehicle with usually four wheels used for transportation of one to eight people, designed to run primarily on roads."
,,,,"Vehicle horn, car horn, honking",,"Автомобильный гудок, автомобильный гудок, гудение",False,"11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Sounds of things/Alarm/Vehicle horn, car horn, honking""","{""Air horn, truck horn"": ""0.53""}",{},The sound of a motor vehicle accessory whose purpose is to provide an audible alert of the vehicle's presence.
,,,,,Toot,Гудок,False,"25,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Sounds of things/Alarm/Vehicle horn, car horn, honking/Toot""","{""Air horn, truck horn"": ""0.33"", ""Traffic noise, roadway noise"": ""0.31""}",{},A blast of a horn.
,,,,Car alarm,,Автомобильная сигнализация,False,"27,5,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0","""Sounds of things/Alarm/Car alarm""","{""Alarm"": ""0.32""}",{},The loud sound of an electronic device installed in a vehicle in an attempt to discourage theft of the vehicle or its contents.
,,,,"Power windows, electric windows",,Электрические стеклоподъемники,False,"154,47,17,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Keys jangling"": ""0.37""}",{},"The sound of automobile windows being raised and lowered by a built-in electric motor, controlled by a button or switch."
,,,,Skidding,,Занос,False,"48,15,7,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Tire squeal"": ""0.87"", ""Race car, auto racing"": ""0.74"", ""Car passing by"": ""0.34""}",{},The sound of a vehicle sliding on a road surface as a consequence of its wheels losing sufficient frictional contact.
,,,,Tire squeal,,Визг шин,False,"26,16,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Skidding"": ""0.87"", ""Race car, auto racing"": ""0.87"", ""Accelerating, revving, vroom"": ""0.45"", ""Car passing by"": ""0.41"", ""Clatter"": ""0.33""}",{},The high-pitched sound of a rubber vehicle tire sliding over a road surface when the torque applied to the wheel (to either accelerate or decelerate) exceeds the maximum frictional force that can be supported.
,,,,Car passing by,,Проезжающий автомобиль,False,"118,24,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Race car, auto racing"": ""0.58"", ""Outside, urban or manmade"": ""0.54"", ""Traffic noise, roadway noise"": ""0.53"", ""Accelerating, revving, vroom"": ""0.52"", ""Bus"": ""0.52"", ""Flap"": ""0.44"", ""Clatter"": ""0.43"", ""Tire squeal"": ""0.41"", ""Whir"": ""0.40"", ""Field recording"": ""0.39"", ""Medium engine (mid frequency)"": ""0.35"", ""Skidding"": ""0.34"", ""Motorboat, speedboat"": ""0.33"", ""Truck"": ""0.32""}",{},"The sound of a motorized vehicle as it passes by a listener close to the vehicle's path. The sound may include engine and tire noise and will typically involve a clear build-up and/or decay of intensity as the vehicle approaches and retreats, as well as possible Doppler shift."
,,,,"Race car, auto racing",,"Гоночный автомобиль, автогонки",False,"47,20,10,4,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0",,"{""Tire squeal"": ""0.87"", ""Skidding"": ""0.74"", ""Car passing by"": ""0.58"", ""Accelerating, revving, vroom"": ""0.54"", ""Clatter"": ""0.36""}",{},"The sound of one or more motor vehicles engaged in a competition to complete a course as quickly as possible. Specialized race cars include many modifications, often making them much louder than common street vehicles."
,,,Truck,,,Грузовик,False,"105,19,5,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0",,"{""Heavy engine (low frequency)"": ""0.65"", ""Bus"": ""0.58"", ""Idling"": ""0.49"", ""Medium engine (mid frequency)"": ""0.48"", ""Engine"": ""0.47"", ""Car"": ""0.45"", ""Vibration"": ""0.40"", ""Outside, urban or manmade"": ""0.36"", ""Traffic noise, roadway noise"": ""0.34"", ""Car passing by"": ""0.32"", ""Accelerating, revving, vroom"": ""0.31""}",{},Sounds of large motor vehicles designed to transport cargo on roads.
,,,,Air brake,,Пневматический тормоз,False,"12,8,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0",,"{""Bus"": ""0.51"", ""Heavy engine (low frequency)"": ""0.36""}",{},Sounds of a vehicle braking system in which compressed air is used to transmit force to the brake pads on the wheels. The pneumatic system makes an abrupt hissing sound when the pressure is released by venting the air.
,,,,"Air horn, truck horn",,"Пневматический гудок, гудок грузовика",False,"8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Sounds of things/Alarm/Air horn, truck horn""","{""Vehicle horn, car horn, honking"": ""0.53"", ""Toot"": ""0.33""}",{},The sound of a pneumatic device mounted on large vehicles designed to create an extremely loud noise for signalling purposes.
,,,,Reversing beeps,,Звуковые сигналы заднего хода,False,"22,9,3,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0",,{},{},"The sound of an electronic warning device fitted to many commercial vehicles to alert pedestrians when the reverse gear is engaged, signaling that the vehicle is likely to move backwards."
,,,,"Ice cream truck, ice cream van",,"Грузовик с мороженым, фургон с мороженым",False,"24,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},"Sounds of a commercial vehicle that serves as a mobile retail outlet for ice cream, usually during the summer. Ice cream vans often play a repeating nursery-rhyme-style melody from speakers mounted on the vehicle's exterior to attract customers."
,,,Bus,,,Автобус,False,"180,34,12,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Traffic noise, roadway noise"": ""0.67"", ""Truck"": ""0.58"", ""Car"": ""0.57"", ""Car passing by"": ""0.52"", ""Air brake"": ""0.51"", ""Outside, urban or manmade"": ""0.48"", ""Heavy engine (low frequency)"": ""0.47"", ""Field recording"": ""0.42"", ""Ship"": ""0.33"", ""Engine"": ""0.30""}",{},Interior and exterior sounds of a road vehicle designed to carry many passengers.
,,,Emergency vehicle,,,Спасательная машина,False,"75,27,22,8,7,1,3,0,1,1,0,0,0,0,0,0,0,0,0",,"{""Siren"": ""0.91""}",{},"The sound of any vehicle that is designated and authorized to respond to an emergency. Since emergency vehicles often need to travel at high speeds, they are frequently fitted with audible sirens to warn other motorists to give way."
,,,,Police car (siren),,Полицейская машина (сирена),False,"69,37,16,12,5,1,1,1,0,2,0,0,0,0,0,0,0,0,0","""Sounds of things/Alarm/Siren/Police car (siren)""","{""Siren"": ""0.85"", ""Fire engine, fire truck (siren)"": ""0.75"", ""Ambulance (siren)"": ""0.66""}",{},The sound of a siren fitted to a ground vehicle used by police when responding to incidents.
,,,,Ambulance (siren),,Скорая помощь (сирена),False,"58,6,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0","""Sounds of things/Alarm/Siren/Ambulance (siren)""","{""Siren"": ""0.77"", ""Fire engine, fire truck (siren)"": ""0.74"", ""Police car (siren)"": ""0.66""}",{},The sound of a siren fitted to a vehicle used to transport sick or injured people to a hospital or other medical facility.
,,,,"Fire engine, fire truck (siren)",,"Пожарная машина, пожарная машина (сирена)",False,"18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Sounds of things/Alarm/Siren/Fire engine, fire truck (siren)""","{""Siren"": ""0.81"", ""Police car (siren)"": ""0.75"", ""Ambulance (siren)"": ""0.74""}",{},The sound of a siren fitted to a vehicle used to transport firefighters and their equipment to an emergency situation.
,,,Motorcycle,,,Мотоцикл,False,"112,28,15,4,13,7,1,2,0,0,0,0,0,0,0,0,0,0,0",,"{""Clatter"": ""0.47"", ""Medium engine (mid frequency)"": ""0.45"", ""Accelerating, revving, vroom"": ""0.39"", ""Lawn mower"": ""0.34"", ""Engine"": ""0.33"", ""Car"": ""0.32"", ""Idling"": ""0.31""}",{},"Sounds of a small motor vehicle, usually with only two wheels. Motorcycles typically lack an external shell and seat riders astride the engine."
,,,"Traffic noise, roadway noise",,,"Шум транспорта, шум проезжей части",False,"223,83,41,22,6,6,3,2,1,0,0,0,0,0,0,0,0,0,0",,"{""Bus"": ""0.67"", ""Car passing by"": ""0.53"", ""Outside, urban or manmade"": ""0.52"", ""Car"": ""0.49"", ""Field recording"": ""0.40"", ""Truck"": ""0.34"", ""Toot"": ""0.31""}",{},The combined sounds of many motor vehicles traveling on roads.
,,Rail transport,,,,Железнодорожный транспорт,False,"110,34,21,12,6,4,2,5,1,2,2,3,5,2,2,3,3,0,0",,"{""Clickety-clack"": ""0.93""}",{},Sounds associated with wheeled vehicles running on rails (tracks).
,,,Train,,,Поезд,False,"163,42,23,13,7,6,5,3,4,2,1,3,1,5,1,4,5,5,0",,"{""Railroad car, train wagon"": ""0.99"", ""Clickety-clack"": ""0.91"", ""Subway, metro, underground"": ""0.81"", ""Train wheels squealing"": ""0.76""}",{},"The sound of one or more coupled vehicles running on a rail track to transport cargo or passengers, propelled by a separate locomotive or individual motors in each railroad car."
,,,,Train whistle,,Свисток поезда,False,"4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Steam whistle"": ""0.73"", ""Train horn"": ""0.65"", ""Railroad car, train wagon"": ""0.31""}",{},"The sound of an audible signaling device on a steam locomotive used to warn that the train is approaching, and to communicate with rail workers."
,,,,Train horn,,Гудок поезда,False,"12,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Train whistle"": ""0.65"", ""Railroad car, train wagon"": ""0.49"", ""Clickety-clack"": ""0.45""}",{},The sound of an air horn which serves as an audible warning device on diesel and electric locomotives.
,,,"Railroad car, train wagon",,,"Железнодорожный вагон, вагон поезда",False,"91,36,14,7,8,1,4,1,3,3,3,3,4,1,2,5,0,0,0",,"{""Train"": ""0.99"", ""Clickety-clack"": ""0.94"", ""Train wheels squealing"": ""0.78"", ""Subway, metro, underground"": ""0.78"", ""Train horn"": ""0.49"", ""Train whistle"": ""0.31""}",{},The sound of a vehicle used for carrying cargo or passengers on a rail transport system.
,,,Train wheels squealing,,,Визг колес поезда,False,"15,7,5,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Railroad car, train wagon"": ""0.78"", ""Train"": ""0.76"", ""Clickety-clack"": ""0.70"", ""Subway, metro, underground"": ""0.70""}",{},"The high-pitched tones caused by steel train wheels rubbing against rails, for instance when traversing a tight bend or when braking."
,,,"Subway, metro, underground",,,"Метро, ​​метрополитен",False,"38,11,9,6,5,3,2,2,2,3,1,1,1,0,0,0,0,0,0",,"{""Train"": ""0.81"", ""Railroad car, train wagon"": ""0.78"", ""Train wheels squealing"": ""0.70"", ""Clickety-clack"": ""0.63""}",{},"Sounds of high-capacity electric railways that serve as public transport, generally in urban areas."
